news,type
"China had role in Yukos split-up
 
 China lent Russia $6bn (£3.2bn) to help the Russian government renationalise the key Yuganskneftegas unit of oil group Yukos, it has been revealed.
 
 The Kremlin said on Tuesday that the $6bn which Russian state bank VEB lent state-owned Rosneft to help buy Yugansk in turn came from Chinese banks. The revelation came as the Russian government said Rosneft had signed a long-term oil supply deal with China. The deal sees Rosneft receive $6bn in credits from China's CNPC.
 
 According to Russian newspaper Vedomosti, these credits would be used to pay off the loans Rosneft received to finance the purchase of Yugansk. Reports said CNPC had been offered 20% of Yugansk in return for providing finance but the company opted for a long-term oil supply deal instead. Analysts said one factor that might have influenced the Chinese decision was the possibility of litigation from Yukos, Yugansk's former owner, if CNPC had become a shareholder. Rosneft and VEB declined to comment. ""The two companies [Rosneft and CNPC] have agreed on the pre-payment for long-term deliveries,"" said Russian oil official Sergei Oganesyan. ""There is nothing unusual that the pre-payment is for five to six years.""
 
 The announcements help to explain how Rosneft, a medium-sized, indebted, and relatively unknown firm, was able to finance its surprise purchase of Yugansk. Yugansk was sold for $9.3bn in an auction last year to help Yukos pay off part of a $27bn bill in unpaid taxes and fines.
 
 The embattled Russian oil giant had previously filed for bankruptcy protection in a US court in an attempt to prevent the forced sale of its main production arm. But Yugansk was sold to a little known shell company which in turn was bought by Rosneft. Yukos claims its downfall was punishment for the political ambitions of its founder Mikhail Khodorkovsky. Once the country's richest man, Mr Khodorkovsky is on trial for fraud and tax evasion.
 
 The deal between Rosneft and CNPC is seen as part of China's desire to secure long-term oil supplies to feed its booming economy. China's thirst for products such as crude oil, copper and steel has helped pushed global commodity prices to record levels. ""Clearly the Chinese are trying to get some leverage [in Russia],"" said Dmitry Lukashov, an analyst at brokerage Aton. ""They understand property rights in Russia are not the most important rights, and they are more interested in guaranteeing supplies."" ""If the price of oil is fixed under the deal, which is unlikely, it could be very profitable for the Chinese,"" Mr Lukashov continued. ""And Rosneft is in desperate need of cash, so it's a good deal for them too.""
",business
"Oil rebounds from weather effect
 
 Oil prices recovered in Asian trade on Tuesday, after falling in New York on milder winter weather across the US.
 
 With winter temperatures staying relatively high in the northern US, a barrel of light crude ended Monday down $1.33 to $42.12. However crude prices have rebounded in Asia, rising to $42.30 a barrel for February delivery. In London, trading of Brent crude was suspended for a public holiday, but the price fell to $39.20 in the Far East.
 
 With milder temperatures expected to continue in the northern parts of the US over the next few days at least, analysts have said the price of oil may fall further - even if the decline was only temporary. ""Weather has been the Achilles' heel of this market,"" said ABN AMRO analyst John Brady. ""But it is winter in the northeast. Eventually we'll get another cold blast."" Despite a fall of more than $12 a barrel from the record highs reached in late October, the price of crude oil remains almost 30% higher than year-ago levels. Prices rose last week after militant attacks in Riyadh, the capital of Saudi Arabia, briefly renewed fears that the supply chain might be broken in the world's leading crude exporter. ""The market was panicked but fears essentially evaporated... since there was no follow-up,"" said Deborah White, senior economist for energy at SG Securities in Paris.
",business
"Indonesia 'declines debt freeze'
 
 Indonesia no longer needs the debt freeze offered by the Paris Club group of creditors, Economics Minister Aburizal Bakrie has reportedly said.
 
 Indonesia, which originally accepted the debt moratorium offer, owes the Paris Club about $48bn (£25.5bn). Mr Bakrie told the Bisnis Indonesia newspaper that a $1.7bn donors' aid package meant that the debt moratorium was unnecessary. This aid comes on top of a previously-pledged $3.4bn package. Most of this 'normal aid' would be used to finance the country's budget deficit. The Indonesian Economics Minister explained that the money - $1.2bn in grants and $500m in soft loans - was for the rebuilding of Aceh province, which was badly hit by the tsunami of 26 December. Nevertheless, one of Mr Bakrie's deputies, Mahendra Siregar, told AFP news agency that Indonesia was still considering the offer by the Paris Club of rich creditor nations to temporarily suspend its debt payments. ""What is true is that we are still discussing... the Paris Club decision to find out more details such as how much of our debt will be subject to a moratorium. That's how far we are at this stage,"" said Mr Siregar.
 
 The 19 member countries of the Paris Club are owed about $5bn this year in debt repayments by nations affected by the Indian Ocean tsunami. Indonesia, Sri Lanka and the Seychelles accepted the Paris Club offer, which was criticised by some aid groups as being too little. Thailand and India have however declined the offer, with Thailand prefering to keep up with its payments while India said it would prefer to rely on its own resources rather than on international aid. Putting off payments may lower a country's rating among financial organisations, making it more expensive and more difficult for them to borrow money in the future, analysts said. Separately, the Indonesian government has said it will announce monthly how much it has received in foreign donations and how it has spent the money. Welfare Minister Alwi Shihab told AP news agency that this announcement should allay suspicion of official corruption in relief operations.
",business
"$1m payoff for former Shell boss
 
 Shell is to pay $1m (£522,000) to the ex-finance chief who stepped down from her post in April 2004 after the firm over-stated its reserves.
 
 Judy Boynton finally left the firm on 31 December, having spent the intervening time as a special advisor to chief executive Jeroen van der Veer. In January 2004, Shell told shocked investors that its reserves were 20% smaller than previously thought. Shell said the pay-off was in line with Ms Boynton's contract. She was leaving ""by mutual agreement to pursue other career opportunities"", the firm said in a statement. The severance package means she keeps long-term share options, but fails to collect on a 2003 incentive plan since the firm has failed to meet the targets included in it.
 
 The revelation that Shell had inflated its reserves led to the resignation of its chairman, Sir Phil Watts, and production chief Walter van der Vijver.
 
 An investigation commissioned by Shell found that Ms Boynton had to share responsibility for the company's behaviour. Despite receiving an email from Mr Van de Vijver which said the firm had ""fooled"" the market about its reserves, the investigation said, she did nothing to inquire further. In all, Shell restated its reserves four times during 2003. In September, it paid £82.7m in fines to regulators on both sides of the Atlantic for violating market rules in its reporting of its reserves.
",business
"US bank in $515m SEC settlement
 
 Five Bank of America subsidiaries have agreed to pay a total of $515m (£277m) to settle an investigation into fraudulent trading share practices.
 
 The US Securities and Exchange Commission announced the settlements, the latest in an industry-wide clean-up of US mutual funds. The SEC also said it had brought fraud charges against two ex-senior executives of Columbia Distributor. Columbia Distributor was part of FleetBoston, bought by BOA last year. Three other ex-Columbia executives agreed settlements with the SEC.
 
 The SEC has set itself the task of stamping out the mutual funds' use of market-timing, a form of quick-fire, short-term share trading that harms the interests of small investors, with whom mutual funds are particularly popular. In the last two years, it has imposed penalties totalling nearly $2bn on 15 funds. The SEC unveiled two separate settlements, one covering BOA's direct subsidiaries, and another for businesses that were part of FleetBoston at the time. In both cases, it said there had been secret deals to engage in market timing in mutual fund shares. The SEC agreed a deal totalling $375m with Banc of America Capital Management, BACAP Distributors and Banc of America Securities. It was made up of $250m to pay back gains from market timing, and $125m in penalties. It is to be paid to the damaged funds and their shareholders. Separately, the SEC said it had reached a $140m deal - equally split between penalties and compensation - in its probe into Columbia Management Advisors (CAM) and Columbia Funds Distributor (CFD) and three ex-Columbia executives. These businesses became part of BOA when it snapped up rival bank FleetBoston in a $47bn merger last March.
 
 The SEC filed civil fraud charges in a Boston Federal court against James Tambone, who it says headed CFD's sales operations, and his alleged second in command Robert Hussey. The SEC is pressing for the highest tier of financial penalties against the pair for ""multiple violations"", repayment of any personal gains, and an injunction to prevent future breaches, a spokeswoman for the SEC's Boston office told the BBC. There was no immediate comment from the men's' lawyers. The SEC's settlement with CAM and CFD included agreements with three other ex-managers, Peter Martin, Erik Gustafson and Joseph Palombo, who paid personal financial penalties of between $50-100,000.
",business
"Verizon 'seals takeover of MCI'
 
 Verizon has won a takeover battle for US phone firm MCI with a bid worth $6.8bn (£3.6bn), reports say.
 
 The two firms are expected to seal the deal on Monday morning, according to news agency reports, despite what was thought to be a higher bid from Qwest. The US telecoms market is consolidating fast, with former long-distance giant AT&T being bought by former subsidiary SBC earlier this year for $16bn. MCI exited bankruptcy in April, having gone bust under previous name WorldCom. The bankruptcy followed its admission in 2002 that it illegally booked expenses and inflated profits.
 
 Shareholders lost about $180bn when the company collapsed, while 20,000 workers lost their jobs. Former Worldcom boss Bernie Ebbers is currently on trial, accused of overseeing an $11bn fraud. Qwest has itself come under suspicion of sub-standard behaviour, paying the Securities and Exchange Commission $250m in October to settle charges that it manipulated its results to keep Wall Street happy.
 
 MCI is the US's second-biggest long distance firm after AT&T. Consolidation in the US telecommunications industry has picked up in the past few months as companies look to cut costs and boost client bases. A merger between MCI and Verizon would be the fifth billion-dollar telecoms deal since October. Last week, SBC Communications agreed to buy its former parent and phone trailblazer AT&T for about $16bn. Buying MCI would give either Qwest or Verizon access to MCI's global network and business-based subscribers. The rationale is similar to the one underpinning SBC's AT&T deal. Verizon is by far the bigger company and has its own successful mobile arm - factors which may have swung the board in its favour since both suitors are offering a mixture of cash and shares.
",business
"Parmalat boasts doubled profits
 
 Parmalat, the Italian food group at the centre of one of Europe's most painful corporate scandals, has reported a doubling in profit.
 
 Its pre-tax earnings in the fourth quarter were 77m euros (£53m; $100m), up from 38m in the same period of 2003. Less welcome was the news that the firm had been fined 11m euros for having violated takeover rules five years ago. The firm sought bankruptcy protection in December 2003 after disclosing a 4bn-euro hole in its accounts. Overall, the company's debt is close to 12bn euros, and is falling only slowly. Its brands, well-known in Italy and overseas, have continued to perform strongly, however, and have barely lost revenue since the scandal broke.
 
 But a crucial factor for the company's future is the legal unwinding of its intensely complex financial position. On Tuesday, the company's administrator, turnaround expert Enrico Bondi, sued Morgan Stanley, its former banker, to return 136m euros relating to a 2003 bond deal. That brought to 49 the number of banks that Mr Bondi has sued, a mass of legal action that could bring in as much as 3bn euros. The company has also sued former auditors and financial advisors for damages. And criminal cases against the company's former management are proceeding separately.
",business
"US seeks new $280bn smoker ruling
 
 The US Justice Department is to try to overturn a court ruling that threw out its claim for $280bn (£149bn) in damages from tobacco firms.
 
 Earlier this month, a three-judge appeal court panel rejected the claim - filed in 1999 by the administration of Bill Clinton - in a 2-1 decision. Government lawyers said they would ask the full US Court of Appeals for the District of Columbia to hear the case. The court room battle is seen as key in government attempts to fight smoking. ""It's pretty clear that they've suffered a severe setback,"" said Anthony Sebok, a professor at Brooklyn Law School, adding that the appeal was what the government ""would be expected to ask for"".
 
 Prosecutors had argued that tobacco firms lied about the dangers of smoking, ignored research that highlighted problems, looked to increase addiction by manipulating nicotine levels and targeted the young with their adverts. Among the firms accused were Altria Group, RJ Reynolds Tobacco, Lorillard Tobacco, Liggett Group and Brown and Williamson. Prosecutors went after the companies using legislation put in place to fight organised crime, and accused the firms of conspiring and running ""Racketeer Influenced and Corrupt Organisations"". The tobacco companies denied the charges, saying that they never illegally conspired to promote smoking and fool the public. They also said that they have met many of the government's demands laid out in a landmark $206bn settlement hammered out in 1998 with 46 states. A three-judge panel agreed with the companies, finding that the case could not be brought under federal anti-racketeering laws.
 
 Central to the government's case was a meeting in the Plaza Hotel, New York, on 15 December, 1953. Prosecutors contend that executives from the major tobacco firms met and agreed to present a unified strategy denying the harmful effects of smoking. Despite denying for decades that smoking could be linked to illness, the companies have modified their stances in recent years. Altria's Philip Morris now accepts that nicotine is harmful, and the company's main lawyer William Ohlemeyer told the BBC last year that earlier statements may have been wrong but they were not dishonest. Government lawyers have until 21 March to file their appeal.
",business
"Steel firm 'to cut' 45,000 jobs
 
 Mittal Steel, one of the world's largest steel producers, could cut up to 45,000 jobs over the next five years, its chief executive has said.
 
 The Netherlands-based company is due to complete its $4.5bn acquisition of US firm ISG next month, making it one of the largest global firms of its kind. However, Lakshmi Mittal has told investors the combined company will have to shed thousands of jobs. The Indian-born magnate did not say where the job losses would fall.
 
 Mr Mittal told US investors that once the acquisition of International Steel Group was completed, the company would aim to reduce its workforce by between 7,000 and 8,000 annually. This could see its workforce trimmed from 155,000 to 110,000 staff by 2010. ""We are investing in modernisation so employees will go down,"" Mr Mittal told the conference in Chicago.
 
 Mittal Steel was formed last year when Mr Mittal's LNM Holdings merged with Dutch firm Ispat. A combination of Mittal Steel and ISG would have annual sales of $32bn (£16.7bn; 24.1bn euros) and a production capacity of 70 million tonnes.
 
 A Mittal Steel spokeman said that no decisions on job cuts have been made yet. ""We are trying to create a sustainable steel industry and if we want to do that, we have to invest in new technology,"" a spokesman said. Mittal Steel has operations in 14 countries. Many of its businesses - particularly those in eastern Europe - were previously state owned and have huge workforces. It employs 50,000 staff in Kazakhstan alone, and has large operations in Romania, the Czech Republic, South Africa and the United States.
",business
"Cars pull down US retail figures
 
 US retail sales fell 0.3% in January, the biggest monthly decline since last August, driven down by a heavy fall in car sales.
 
 The 3.3% fall in car sales had been expected, coming after December's 4% rise in car sales, fuelled by generous pre-Christmas special offers. Excluding the car sector, US retail sales were up 0.6% in January, twice what some analysts had been expecting. US retail spending is expected to rise in 2005, but not as quickly as in 2004.
 
 Steve Gallagher, US chief economist at SG Corporate & Investment Banking, said January's figures were ""decent numbers"".
 
 ""We are not seeing the numbers that we saw in the second half of 2004, but they are still pretty healthy,"" he added. Sales at appliance and electronic stores were down 0.6% in January, while sales at hardware stores dropped by 0.3% and furniture store sales dipped 0.1%. Sales at clothing and clothing accessory stores jumped 1.8%, while sales at general merchandise stores, a category that includes department stores, rose by 0.9%. These strong gains were in part put down to consumers spending gift vouchers they had been given for Christmas.
 
 Sales at restaurants, bars and coffee houses rose by 0.3%, while grocery store sales were up 0.5%. In December, overall retail sales rose by 1.1%. Excluding the car sector, sales rose by just 0.3%. Parul Jain, deputy chief economist at Nomura Securities International, said consumer spending would continue to rise in 2005, only at a slower rate of growth than in 2004. ""Consumers continue to retain their strength in the first quarter,"" he said. Van Rourke, a bond strategist at Popular Securities, agreed that the latest retail sales figures were ""slightly stronger than expected"".
",business
